| time |   in   |load |address|  out   |
| 0+   |      0 |  0  |   0   |      0 |
| 1    |      0 |  0  |   0   |      0 |
| 1+   |      0 |  1  |   0   |      0 |
| 2    |      0 |  1  |   0   |      0 |
| 2+   |  11111 |  0  |   0   |      0 |
| 3    |  11111 |  0  |   0   |  11111 |
| 3+   |  11111 |  1  |   1   |  11111 |
| 4    |  11111 |  1  |   1   |  11111 |
| 4+   |  11111 |  0  |   0   |  11111 |
| 5    |  11111 |  0  |   0   |  11111 |
| 5+   |   3333 |  0  |   3   |  11111 |
| 6    |   3333 |  0  |   3   |   3333 |
| 6+   |   3333 |  1  |   3   |   3333 |
| 7    |   3333 |  1  |   3   |   3333 |
| 7+   |   3333 |  0  |   3   |   3333 |
| 8    |   3333 |  0  |   3   |   3333 |
| 8    |   3333 |  0  |   1   |   3333 |
